name,updated_name,dataset,image_size,image_size_rat,image_size_cat,param_count,size,architecture,technique,dataset-size,imagenet-zeroshot-val-top1,imagenetv2-zeroshot-val-top1,imagenets-zeroshot-val-top1,imagenetr-zeroshot-val-top1,imageneta-zeroshot-val-top1,imagenet-average-robustness,imagenet-effective-robustness,in100-zeroshot-val-top1,in100v2-zeroshot-val-top1,in100s-zeroshot-val-top1,in100r-zeroshot-val-top1,in100a-zeroshot-val-top1,in100-average-robustness,in100-effective-robustness,in100-dogs-zeroshot-val-top1,in100-dogs-v2-zeroshot-val-top1,in100-dogs-s-zeroshot-val-top1,in100-dogs-r-zeroshot-val-top1,in100-dogs-a-zeroshot-val-top1,in100-dogs-average-robustness,in100-dogs-effective-robustness
eca_nfnet_l1,eca_nfnet_l1,in1k,320,0.4,M,41.41,S,Convolution,Conventional,1200000,0.838,0.734,0.364,0.493,0.375,0.492,0.587,0.9664,0.911,0.56049577,0.501585791,0.452217364,0.606,0.627,0.8486,0.697,0.492716535,0.721091049,0.602272727,0.628,0.74
eca_nfnet_l2,eca_nfnet_l2,in1k,384,0.48,M,56.72,M,Convolution,Conventional,1200000,0.845,0.742,0.39,0.521,0.45,0.526,0.622,0.9638,0.913,0.593940586,0.530605772,0.407245472,0.611,0.634,0.8342,0.683,0.499606299,0.737994622,0.590909091,0.628,0.753
eca_resnet33ts,eca_resnet33ts,in1k,256,0.32,M,19.68,S,Convolution,Conventional,1200000,0.801,0.688,0.294,0.414,0.141,0.384,0.479,0.9498,0.886,0.491048593,0.442277196,0.288569644,0.527,0.555,0.8166,0.636,0.386220472,0.630042259,0.556818182,0.552,0.676
eca_resnext26ts,eca_resnext26ts,in1k,256,0.32,M,10.3,S,Convolution,Conventional,1200000,0.781,0.666,0.263,0.386,0.081,0.349,0.447,0.9406,0.864,0.442651977,0.41420869,0.231730169,0.488,0.519,0.7864,0.581,0.354330709,0.578947368,0.454545455,0.492,0.626
ecaresnet269d,ecaresnet269d,in1k,352,0.44,M,102.09,L,Convolution,Conventional,1200000,0.846,0.745,0.396,0.524,0.459,0.531,0.628,0.9702,0.919,0.614400944,0.536948938,0.455965022,0.632,0.651,0.8492,0.697,0.509251969,0.771417595,0.636363636,0.654,0.77
ecaresnet26t,ecaresnet26t,in1k,320,0.4,M,16.01,S,Convolution,Conventional,1200000,0.803,0.692,0.298,0.419,0.155,0.391,0.487,0.9498,0.876,0.452488688,0.429115128,0.257963773,0.504,0.531,0.8048,0.62,0.385629921,0.62850557,0.534090909,0.542,0.673
ecaresnet50t,ecaresnet50t,in1k,320,0.4,M,25.57,S,Convolution,Conventional,1200000,0.822,0.713,0.33,0.455,0.261,0.44,0.535,0.9574,0.889,0.516230572,0.473993023,0.325421611,0.551,0.576,0.8248,0.67,0.446653543,0.696119862,0.545454545,0.59,0.715
edgenext_small,edgenext_small,in1k,320,0.4,M,5.59,S,Convolution,Conventional,1200000,0.81,0.701,0.309,0.431,0.187,0.407,0.502,0.956,0.893,0.537084399,0.475737393,0.321049344,0.557,0.583,0.8234,0.656,0.44015748,0.694583173,0.636363636,0.607,0.737
edgenext_small_rw,edgenext_small_rw,in1k,320,0.4,M,7.83,S,Convolution,Conventional,1200000,0.804,0.694,0.299,0.422,0.16,0.394,0.49,0.946,0.874,0.507377533,0.451474786,0.31105559,0.536,0.567,0.8072,0.625,0.407874016,0.660007683,0.5,0.548,0.679
edgenext_x_small,edgenext_x_small,in1k,288,0.36,M,2.34,S,Convolution,Conventional,1200000,0.772,0.654,0.253,0.371,0.064,0.336,0.435,0.928,0.847,0.398190045,0.361877577,0.194253592,0.45,0.485,0.7684,0.574,0.326771654,0.545140223,0.465909091,0.478,0.622
